Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5500000.0,5307326.6836246215,5313292.9625223335,5312536.065390785,5302479.958345258,5306461.537417355,5312603.314613963,5310727.4647900835,5315553.127035546,5311592.313589495,5312650.218342166,5318325.03999582,5314691.564499452,5304581.347432583,5310258.044995526,5305759.11609523,5321256.6292206,5312667.356690795,5294634.23667661,5302305.642285152,5308942.563407574
5600000.0,5406053.86215881,5408803.357559464,5410735.633242799,5404981.774414937,5402406.379661233,5410365.005052511,5406599.781099353,5413942.495970042,5406388.466925969,5410091.5523648495,5416993.300163292,5412229.305045266,5400289.10611588,5407794.842270827,5402916.266586287,5418104.012687249,5408095.295229807,5390143.398882997,5399556.615768405,5405843.592265279
5700000.0,5508310.665153557,5506426.3109776415,5511724.876798136,5512318.580428287,5501367.227776624,5510827.217308808,5504972.82184447,5514791.176645954,5503287.473773042,5510165.419894478,5517830.913715316,5512178.870884384,5499172.206989654,5508267.327181,5503468.398581869,5516484.675134218,5505684.737439462,5489979.155383779,5500647.83548258,5505699.872381123
5800000.0,5613887.911409446,5606563.543358564,5615356.977429831,5623422.180644871,5603739.459333715,5613936.187473902,5606203.263992098,5617887.161651506,5602848.866225718,5612885.350651215,5620549.126896478,5614515.149250547,5601700.678760556,5611693.242820336,5607569.0434394,5616469.116518716,5605860.053824552,5594831.26057599,5605763.4643794345,5608678.188839031
5900000.0,5721745.31708647,5709170.956954822,5720864.318767121,5736020.974058309,5709245.777587944,5719038.283067636,5710105.476593705,5722489.877347275,5705201.098736994,5717681.654309321,5724412.499121532,5718687.832252714,5707635.287753791,5717425.908789374,5714580.828442535,5717810.118256254,5708589.7184097655,5704369.173106292,5714166.485293905,5714277.253526886
6000000.0,5830166.570901302,5813649.538207889,5826966.716266185,5847301.946808096,5816815.318771805,5824948.693964257,5815854.484378326,5827455.437744621,5809873.843809129,5823442.039112543,5828383.156771478,5823674.286421478,5815870.357328002,5824196.6305017155,5823060.841828298,5819950.846988493,5813267.971017613,5816941.19475509,5824170.181692874,5821306.58871351
6100000.0,5937255.026563419,5918909.191503488,5932209.043333443,5954931.00922631,5924766.167476149,5930248.195844225,5922112.7557814,5931537.059458883,5915795.8088992955,5928777.618354277,5931393.689483065,5928224.215712884,5924607.139591699,5930427.9531784635,5931107.193847023,5922135.808669691,5918774.9490632005,5929851.249769033,5933561.760970132,5928151.518443
6200000.0,6041531.726155745,6023637.307654208,6035387.011980355,6057754.541102843,6031295.79265182,6033695.639993707,6027391.407915002,6033734.588038596,6021534.735834936,6032423.2150261495,6032633.472975664,6031210.756997559,6031884.215433555,6034704.994508842,6036957.147067856,6023598.147462091,6023752.747079947,6040277.613275712,6040334.431087885,6033253.88607658
6300000.0,6142303.528550929,6126673.743284696,6135848.067419333,6155844.202469261,6135038.864712131,6134551.749600399,6130488.746555425,6133529.262436811,6125712.822019289,6133576.103100831,6131723.393056515,6131922.82123734,6136201.851424911,6136161.739615879,6139505.804775689,6123751.542997516,6126996.717937008,6146278.021782806,6143294.257021823,6135562.462070515
6400000.0,6239672.651832163,6227312.032664598,6233554.573444157,6250107.446007064,6235390.954234656,6232681.172475935,6230785.119339389,6230925.4086763775,6227394.371540161,6232026.881535681,6228730.796733255,6230178.608670674,6236889.467267764,6234611.1948377015,6238487.756588102,6222312.028212826,6227771.546454695,6247230.666357823,6242230.914608799,6234733.366357288
6500000.0,6334305.402729041,6325404.260219651,6328953.017875988,6341825.819431268,6332497.929080505,6328451.77872665,6328288.811138508,6326337.119156941,6326265.442750284,6328082.495601218,6324062.676077307,6326259.949032499,6334094.977391408,6330435.39307487,6334336.460387245,6319317.214135831,6325921.281075206,6343633.826382738,6337708.643416653,6331056.485047297
6600000.0,6427139.330139649,6421278.91039949,6422761.711913096,6432301.683103911,6427029.3213216495,6422535.1543537695,6423489.266618607,6420407.185698532,6422580.291215,6422377.518566004,6418306.73096625,6420746.480610256,6428532.618309071,6424360.2857047925,6427899.106148006,6415059.996318881,6421783.21120412,6436628.93701811,6430717.31117435,6425231.444263499
6700000.0,6519132.433524268,6515560.738019931,6515763.029312906,6522626.5180015005,6519899.742583351,6515699.280594878,6517136.013000159,6513826.431865924,6516971.144954045,6515667.691574542,6512073.579185468,6514329.590091136,6521178.18395333,6517224.762540744,6520156.488056362,6509977.329157041,6516000.299541847,6527562.883246736,6522357.359056034,6518121.2028418
6800000.0,6611079.13063813,6608976.079494381,6608636.30149599,6613533.6140816705,6612030.710024609,6608636.521869398,6610028.171557308,6607185.313417379,6610228.41319354,6608654.256738859,6605866.88648301,6607650.42022843,6613014.202037993,6609792.569856452,6612005.712022906,6604531.0589369135,6609319.992781104,6617686.499711437,6613610.032747474,6610546.732595751
6900000.0,6703488.370753687,6702186.650177977,6701840.309635028,6705317.850360434,6704174.969083633,6701839.100482755,6702847.606065129,6700869.506131137,6703109.747235374,6701854.08083581,6699994.1616141675,6701178.570492254,6704845.582190547,6702617.221165682,6704108.685082927,6699104.79170634,6702423.654351898,6707964.520829897,6705183.4726209445,6703136.888617503
7000000.0,6796525.677472507,6795666.516488198,6795552.054694586,6797838.438295604,6796800.6741978675,6795528.599548122,6796042.996566973,6795008.854694319,6796195.662505736,6795522.238091964,6794529.069337713,6795140.353144134,6797178.671829944,6795963.387421426,6796802.081692493,6793931.723541966,6795800.7149879895,6798960.209140863,6797423.849461867,6796234.872846942
7100000.0,6890033.206321766,6889630.644194335,6889673.577902853,6890629.053598634,6890039.5056001125,6889650.683669523,6889771.653847987,6889490.769615652,6889797.56406155,6889637.774393603,6889334.950311081,6889507.502382188,6890165.412049325,6889795.510467014,6890077.759963874,6889064.766356114,6889675.26456612,6890790.241202995,6890300.560240002,6889870.078464998
7200000.0,6983636.567592943,6984026.808414739,6983913.181321316,6983107.650089159,6983713.058448489,6983943.10105173,6983911.551939672,6984041.068991497,6983929.104366154,6983961.787030906,6984148.5667675715,6984053.8619457185,6983627.646085862,6983844.076098255,6983648.073767497,6984396.256577189,6983996.909990249,6983172.2360569285,6983482.581248685,6983807.971712801
7300000.0,7076918.49267305,7078599.084041568,7077925.498477849,7074825.779047055,7077444.04702783,7078065.822510222,7078149.613787827,7078354.345472282,7078353.506339425,7078159.812387134,7078703.0772015555,7078470.812035965,7077170.516982357,7077741.060192805,7077092.341050178,7079724.461739114,7078504.743026568,7075579.626692067,7076502.409380363,7077675.815600438
7400000.0,7169606.601592356,7173012.495235652,7171468.871995286,7165672.50196324,7170829.492462863,7171756.087619524,7172128.63335982,7172234.3572752755,7172704.0578489425,7171954.634724286,7172852.16890162,7172508.872209901,7170363.303314154,7171186.97124051,7170046.14766459,7174849.075146416,7172854.427402443,7167474.668732753,7168964.435030592,7171132.28184415
7500000.0,7261714.699138137,7267003.07301979,7264529.7044295715,7255976.254385319,7263622.369317096,7264958.718296104,7265608.534540026,7265700.047404824,7266646.294533481,7265260.716505164,7266656.732372682,7266100.441485164,7262932.125631255,7264095.76663891,7262372.209379822,7269666.269353041,7266772.142849185,7258545.258155276,7260729.556085212,7264026.840428726
7600000.0,7353601.706705304,7360505.06290886,7357379.806715481,7346500.52657494,7355863.529976663,7357894.39137642,7358590.258852041,7359028.87388265,7360029.604526366,7358260.646994551,7360411.91003752,7359427.747766001,7354902.259084848,7356675.398639071,7354261.742732843,7364234.069997425,7360185.77562925,7348868.826149477,7352021.5866182055,7356500.254472334
7700000.0,7445946.497559961,7453718.3254384445,7450559.745557979,7438358.532992217,7447931.548585722,7451054.63591189,7451369.20407207,7452732.545638272,7452981.52656455,7451409.091933769,7454612.6066418225,7452922.859270319,7446654.796687585,7449430.309852967,7446248.895359385,7458790.662723909,7453295.134966841,7438969.36926336,7443440.021906824,7449005.464023059
7800000.0,7539653.410171468,7547104.124267835,7544798.181246149,7532860.771152583,7540510.701177689,7545131.577940067,7544513.208916733,7547474.465110492,7545924.7980565475,7545370.502427026,7549866.860814455,7547205.399770239,7538897.805057162,7543094.263809488,7539148.198714569,7553723.220683555,7546568.973081789,7529779.59829138,7535892.961522139,7542254.40875297
7900000.0,7635696.636406729,7641316.884147307,7640877.720868363,7631275.648471072,7634491.656089309,7640893.623687878,7638776.362068753,7643939.430645138,7639522.58041116,7640902.054621354,7646767.95405918,7642969.032038275,7632567.862188717,7638505.295357646,7633928.547004733,7649494.714197536,7640676.656886391,7622531.584248474,7630464.272304739,7637103.724767935
8000000.0,7734899.044963878,7737083.810435206,7739452.870932935,7734466.382066586,7730812.504593735,7739013.606279226,7734959.052012297,7742664.735181485,7734565.397041768,7738689.079354701,7745737.6373891905,7740825.634442348,7728669.47848283,7736427.227175299,7731524.1801760085,7746540.094505927,7736366.544989327,7718574.663399844,7728209.966147416,7734384.662037999
